Date : 2022-05-19 23:48:27
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend
Total : 150 files,  40554 codes, 176 comments, 1602 blanks, all 42332 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     19,363 |          0 |          5 |     19,368 |
| HTML               |         67 |     15,708 |          0 |        990 |     16,698 |
| TypeScript         |         66 |      3,193 |         62 |        541 |      3,796 |
| XML                |          1 |      1,803 |          0 |          1 |      1,804 |
| JavaScript         |          7 |        268 |         25 |         41 |        334 |
| CSS                |          2 |        204 |          9 |         14 |        227 |
| JSON with Comments |          2 |         15 |         80 |         10 |        105 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        150 |     40,554 |        176 |      1,602 |     42,332 |
| __tests__                                                                                                                                           |          5 |        322 |          6 |         17 |        345 |
| __tests__\client                                                                                                                                    |          1 |         86 |          2 |          4 |         92 |
| __tests__\project                                                                                                                                   |          1 |         68 |          0 |          3 |         71 |
| __tests__\task                                                                                                                                      |          1 |         59 |          2 |          3 |         64 |
| __tests__\timer                                                                                                                                     |          1 |         44 |          2 |          2 |         48 |
| __tests__\user                                                                                                                                      |          1 |         65 |          0 |          5 |         70 |
| config                                                                                                                                              |          1 |         23 |          0 |          1 |         24 |
| constants                                                                                                                                           |          4 |         20 |          3 |          3 |         26 |
| controllers                                                                                                                                         |          6 |        358 |          2 |         51 |        411 |
| coverage                                                                                                                                            |         74 |     17,995 |         34 |      1,037 |     19,066 |
| coverage\lcov-report                                                                                                                                |         72 |     16,144 |         34 |      1,035 |     17,213 |
| coverage\lcov-report\everhoury_backend                                                                                                              |         66 |     15,354 |          0 |        958 |     16,312 |
| coverage\lcov-report\everhoury_backend\constants                                                                                                    |          3 |        291 |          0 |         43 |        334 |
| coverage\lcov-report\everhoury_backend\controllers                                                                                                  |          7 |      1,813 |          0 |        103 |      1,916 |
| coverage\lcov-report\everhoury_backend\db                                                                                                           |         10 |      1,762 |          0 |        146 |      1,908 |
| coverage\lcov-report\everhoury_backend\db\models                                                                                                    |          7 |      1,411 |          0 |        103 |      1,514 |
| coverage\lcov-report\everhoury_backend\middlewares                                                                                                  |          2 |        266 |          0 |         28 |        294 |
| coverage\lcov-report\everhoury_backend\others                                                                                                       |          5 |        947 |          0 |         79 |      1,026 |
| coverage\lcov-report\everhoury_backend\others\templates                                                                                             |          5 |        947 |          0 |         79 |      1,026 |
| coverage\lcov-report\everhoury_backend\routes                                                                                                       |          8 |      2,546 |          0 |        118 |      2,664 |
| coverage\lcov-report\everhoury_backend\services                                                                                                     |         17 |      5,015 |          0 |        239 |      5,254 |
| coverage\lcov-report\everhoury_backend\services\client                                                                                              |          2 |        464 |          0 |         28 |        492 |
| coverage\lcov-report\everhoury_backend\services\integrations                                                                                        |          2 |        209 |          0 |         28 |        237 |
| coverage\lcov-report\everhoury_backend\services\integrations\jira                                                                                   |          2 |        209 |          0 |         28 |        237 |
| coverage\lcov-report\everhoury_backend\services\internal                                                                                            |          3 |        576 |          0 |         43 |        619 |
| coverage\lcov-report\everhoury_backend\services\project                                                                                             |          2 |        824 |          0 |         28 |        852 |
| coverage\lcov-report\everhoury_backend\services\report                                                                                              |          2 |        353 |          0 |         28 |        381 |
| coverage\lcov-report\everhoury_backend\services\task                                                                                                |          2 |      1,115 |          0 |         28 |      1,143 |
| coverage\lcov-report\everhoury_backend\services\timer                                                                                               |          2 |        698 |          0 |         28 |        726 |
| coverage\lcov-report\everhoury_backend\services\user                                                                                                |          2 |        776 |          0 |         28 |        804 |
| coverage\lcov-report\everhoury_backend\types                                                                                                        |          2 |        212 |          0 |         28 |        240 |
| coverage\lcov-report\everhoury_backend\utils                                                                                                        |          9 |      1,974 |          0 |        131 |      2,105 |
| coverage\lcov-report\everhoury_backend\utils\timer                                                                                                  |          2 |        746 |          0 |         28 |        774 |
| db                                                                                                                                                  |         17 |        319 |          1 |         97 |        417 |
| db\dto                                                                                                                                              |          8 |         56 |          0 |         14 |         70 |
| db\models                                                                                                                                           |          7 |        237 |          0 |         77 |        314 |
| middlewares                                                                                                                                         |          1 |         30 |          0 |          2 |         32 |
| others                                                                                                                                              |          4 |        159 |          0 |         20 |        179 |
| others\templates                                                                                                                                    |          4 |        159 |          0 |         20 |        179 |
| routes                                                                                                                                              |          7 |        555 |          1 |         73 |        629 |
| services                                                                                                                                            |         10 |      1,005 |         20 |        182 |      1,207 |
| services\client                                                                                                                                     |          1 |         79 |          0 |         19 |         98 |
| services\integrations                                                                                                                               |          1 |         10 |          0 |          3 |         13 |
| services\integrations\jira                                                                                                                          |          1 |         10 |          0 |          3 |         13 |
| services\internal                                                                                                                                   |          2 |        101 |          5 |         14 |        120 |
| services\project                                                                                                                                    |          1 |        185 |          3 |         30 |        218 |
| services\report                                                                                                                                     |          1 |         55 |          2 |          4 |         61 |
| services\task                                                                                                                                       |          1 |        264 |          5 |         46 |        315 |
| services\timer                                                                                                                                      |          1 |        151 |          1 |         24 |        176 |
| services\user                                                                                                                                       |          1 |        160 |          4 |         41 |        205 |
| types                                                                                                                                               |          3 |         46 |          1 |          7 |         54 |
| utils                                                                                                                                               |         10 |        337 |         26 |         74 |        437 |
| utils\messages                                                                                                                                      |          1 |          3 |          1 |          2 |          6 |
| utils\timer                                                                                                                                         |          1 |        141 |         19 |         32 |        192 |
| utils\validations                                                                                                                                   |          1 |          8 |          0 |          3 |         11 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                            | language           | code       | comment    | blank      | total      |
